"hotelid","cityid","starclass","nbrooms","amenities","reviews","pageurl","rank","prices","direction","lat","lon","partition_0","process_date"
"15130298","294305","4,5","NA","Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Actividades infantiles (Ideal para niños / familias),Centro de negocios con acceso a Internet,Salas de reuniones,Recepción disponible las 24 horas,Internet gratuito,Internet,Bañera de hidromasaje,Piscina cubierta,Restaurante,Desayuno tipo bufé,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites","162 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d15130298-Reviews-Novotel_Santiago_Providencia-Santiago_Santiago_Metropolitan_Region.html","N.º 59","$84.451,$78.994","Avenida Holanda 222, Santiago 7510084 Chile, Santiago","-33.42103591996655","-70.60341098117424","Chile","2020-01-12"
"1235845","294305","4,0","54","Internet de alta velocidad gratuito (WiFi),Internet gratuito,Wifi,Piscina al aire libre,Desayuno gratis,Desayuno tipo bufé,Almacenamiento de equipaje,Recepción disponible las 24 horas,Internet,Aire acondicionado,Caja fuerte,Microondas,Refrigerador,TV pantalla plana,Vista a la ciudad,Habitaciones para no fumadores","852 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1235845-Reviews-RQ_Santiago-Santiago_Santiago_Metropolitan_Region.html","N.º 55","$38.649,$38.436,$32.456","Alameda 1449 Local 11 Moneda, Santiago 00000 Chile, Santiago","-33.37181051258995","-70.73434148579122","Chile","2020-01-12"
"1637130","294305","4,5","20","Estacionamiento,Internet de alta velocidad gratuito (WiFi),Desayuno disponible,Alquiler de bicicletas,Tours en bicicleta,Alquiler de autos,Seguridad las 24 horas,Almacenamiento de equipaje,Internet gratuito,Wifi,Wifi público,Internet,Bebida de bienvenida de cortesía,Tours a pie,Conserje,Cambio de divisas,Hotel para no fumadores,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Cortinas blackout,Habitaciones insonorizadas,Aire acondicionado,Comedor,Máquina de café/té,TV por cable/satélite,Sofá cama,Ducha a ras de suelo,Servicio de limpieza,Balcón privado,Caja fuerte,Sala de estar,Teléfono,Botellas de agua,Plancha,Baños privados,Kitchenette,Microondas,Horno,Refrigerador,Pava eléctrica,Utensilios de cocina,TV pantalla plana,Secador de pelo,Habitaciones para no fumadores,Suites","466 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1637130-Reviews-Lastarria_43_61-Santiago_Santiago_Metropolitan_Region.html","N.º 23","$54.771,$51.403,$40.310","José Victorino Lastarria 43-61 Avenida Libertador Bernardo O`Higgins 340, estación de metro Universidad Católica, Santiago 8320165 Chile, Santiago","-33.44069003058414","-70.64118006939229","Chile","2020-01-12"
"306837","294305","4,5","96","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Internet gratuito,Wifi,Wifi público,Internet,Piscina al aire libre,Bar/Salón,Restaurante,Desayuno disponible,Desayuno tipo bufé,Alquiler de autos,Salón de banquetes,Salas de reuniones,Almacenamiento de equipaje,Conserje,Cambio de divisas,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Servicio a la habitación,Caja fuerte,Minibar,Refrigerador,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","713 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d306837-Reviews-Director_Hotel_Vitacura-Santiago_Santiago_Metropolitan_Region.html","N.º 31","$80.715,$73.414","Avenida Vitacura 3600 Vitacura, Santiago 6670172 Chile, Santiago","-33.40314946182707","-70.59536243409879","Chile","2020-01-12"
"1065691","294305","4,0","20","Estacionamiento público pagado en el predio,Internet de alta velocidad gratuito (WiFi),Piscina,Bar/Salón,Sala de juegos,Billar,Cadenas de televisión para niños,Fax/Fotocopiadora,Internet gratuito,Wifi,Internet,Toallas para la piscina/playa,Piscina con vista,Piscina al aire libre,Vino/Champagne,Máquina expendedora,Bar en la piscina,Bar junto a la piscina,Personal de entretenimiento,Entretenimiento nocturno,Karaoke,Tenis de mesa,Juegos de mesa/Rompecabezas,Instalaciones para hacer parrillas,Almacenamiento de equipaje,Hotel para no fumadores,Muebles de exterior,Zona de picnic,Cocina compartida,Sala de estar o con TV compartida,Terraza solárium,Sombrillas,Recepción disponible las 24 horas,Servicio de lavandería,Servicio de planchado,Caja fuerte,Habitaciones para no fumadores","573 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1065691-Reviews-La_Casa_Roja_Hostel-Santiago_Santiago_Metropolitan_Region.html","N.º 16","N,A","Agustinas 2113 Barrio Brasil, Santiago 8340463 Chile, Santiago","-33.44220357285476","-70.66578320774424","Chile","2020-01-12"
"301848","294305","4,0","525","Wifi,Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Alquiler de bicicletas,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Wifi público,Wifi con cargo adicional,Internet,Toallas para la piscina/playa,Piscina cubierta,Piscina al aire libre,Piscina climatizada,Restaurante,Desayuno disponible,Desayuno tipo bufé,Bar junto a la piscina,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Spa,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Servicio de mayordomo,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Chimenea,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Habitaciones para familias","2.157 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d301848-Reviews-Sheraton_Santiago_Hotel_and_Convention_Center-Santiago_Santiago_Metropolitan_Region.html","N.º 71","N,A","Ave. Santa Maria, 1742, Santiago Chile, Santiago","-33.358468975348295","-70.67954598849556","Chile","2020-01-12"
"1062166","294305","4,5","31","Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Alquiler de bicicletas,Transporte al aeropuerto,Seguridad las 24 horas,Tienda de regalos,Check-in las 24 horas,Recepción disponible las 24 horas,Internet gratuito,Wifi,Wifi gratuito en el centro de negocios,Internet por cable gratuito en el centro de negocios,Internet,Bar/Salón,Cafetería,Comedor al aire libre,Alquiler de autos,Hotel para no fumadores,Cocina compartida,Servicio de lavandería,Vista a la ciudad,Habitaciones para no fumadores,Habitaciones para familias,Servicio de limpieza,Teléfono,Guardarropa/Ropero,TV por cable/satélite,Bañera/Ducha,Baños privados,Servicio de despertador/Reloj despertador,TV pantalla plana","640 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1062166-Reviews-Hostal_Rio_Amazonas-Santiago_Santiago_Metropolitan_Region.html","N.º 1","$50.427,$40.217","Avenida Vicuña Mackena 47 Metro Baquedano, Santiago 8330019 Chile, Santiago","-33.439601262565596","-70.63457257288341","Chile","2020-01-12"
"4943191","294305","4,5","12","Estacionamiento público pagado en el predio,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Transporte al aeropuerto,Salas de reuniones,Instalaciones para hacer parrillas,Conserje,Internet gratuito,Wifi,Internet,Piscina al aire libre,Servicio de traslado en autobús,Alquiler de autos,Hotel para no fumadores,Recepción disponible las 24 horas,Check-in y check-out exprés,Aire acondicionado,Servicio de limpieza,Kitchenette,Refrigerador,TV pantalla plana,Suites,Habitaciones para familias","214 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d4943191-Reviews-City_Inn_Apart_Home-Santiago_Santiago_Metropolitan_Region.html","N.º 15","N,A","Nueva Providencia 1372, Nueva Providencia 2170, Santiago 8320000 Chile, Santiago","-33.42900926949049","-70.6186224790524","Chile","2020-01-12"
"6028647","294305","4,5","160","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Restaurante,Alquiler de bicicletas,Guardería,Cadenas de televisión para niños,Garaje de estacionamientos,Estacionamiento,Internet gratuito,Wifi,Internet,Piscina en la terraza,Piscina cubierta,Piscina climatizada,Sauna,Desayuno tipo bufé,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Terraza en la azotea,Conserje,Cambio de divisas,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Chimenea,Servicio de limpieza,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","1.527 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d6028647-Reviews-Hyatt_Place_Santiago_Vitacura-Santiago_Santiago_Metropolitan_Region.html","N.º 48","N,A","Avenida Americo Vespucio Norte 1597, Santiago 7630293 Chile, Santiago","-33.3999584321369","-70.58724920938901","Chile","2020-01-12"
"2367704","294305","4,0","44","Estacionamiento público gratuito cercano,Garaje de estacionamientos,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Actividades infantiles (Ideal para niños / familias),Almacenamiento de equipaje,Conserje,Recepción disponible las 24 horas,Internet gratuito,Wifi,Internet,Desayuno tipo bufé,Hotel para no fumadores,Aire acondicionado,Servicio de limpieza,Kitchenette,Microondas,Refrigerador,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","505 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d2367704-Reviews-RQ_Central-Santiago_Santiago_Metropolitan_Region.html","N.º 5","N,A","San Martin 55, Santiago 8340515 Chile, Santiago","-33.36381468359399","-70.7373094071786","Chile","2020-01-12"
"1764610","294305","4,5","244","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Cadenas de televisión para niños,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Estacionamiento,Internet gratuito,Wifi,Wifi público,Internet,Piscina en la terraza,Piscina cubierta,Piscina al aire libre,Bar/Salón,Restaurante,Desayuno disponible,Desayuno tipo bufé,Bar en la terraza,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","1.367 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1764610-Reviews-Best_Western_Premier_Marina_Las_Condes-Santiago_Santiago_Metropolitan_Region.html","N.º 57","$66.090,$65.725,$66.018","Avenida Alonso de Cordova 5727, Santiago 7560927 Chile, Santiago","-33.407415819210755","-70.57122691672554","Chile","2020-01-12"
"1647594","294305","4,0","50","Estacionamiento privado pagado en el predio,Estacionamiento,Internet de alta velocidad gratuito (WiFi),Alquiler de autos,Almacenamiento de equipaje,Conserje,Recepción disponible las 24 horas,Lavandería de autoservicio,Internet gratuito,Wifi,Internet,Aire acondicionado,Servicio de limpieza,Plancha,Kitchenette,Microondas,TV pantalla plana,Bañera/Ducha,Secador de pelo,Refrigerador,Utensilios de cocina,Habitaciones para no fumadores,Habitaciones para familias","520 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1647594-Reviews-Amistar_Apartments-Santiago_Santiago_Metropolitan_Region.html","N.º 19","$32.978,$33.204,$32.441","Huerfanos 547 Barrio Bellas Artes, Santiago 50001 Chile, Santiago","-33.438993580068114","-70.64465053719198","Chile","2020-01-12"
"4228552","294305","4,5","62","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno tipo bufé,Centro de negocios con acceso a Internet,Salas de reuniones,Conserje,Internet gratuito,Wifi,Internet,Piscina en la terraza,Piscina al aire libre,Hotel para no fumadores,Check-in las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de lustrado de zapatos,Aire acondicionado,Escritorio,Servicio de limpieza,Sofá,Kitchenette,Microondas,TV por cable/satélite,Productos de tocador de cortesía,Botellas de agua,Estante para la ropa,Baños privados,Minibar,Refrigerador,TV pantalla plana,Vista a la montaña,Habitaciones para no fumadores,Suites","478 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d4228552-Reviews-Time_Select-Santiago_Santiago_Metropolitan_Region.html","N.º 41","$65.725,$66.010,$55.640","Versalles 3001, Santiago Las Condes San Chile, Santiago","-33.41976270635926","-70.59749574937962","Chile","2020-01-12"
"518337","294305","4,5","88","Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Desayuno gratis,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Masaje,Internet gratuito,Wifi,Wifi público,Internet,Sauna,Restaurante,Desayuno tipo bufé,Salón de banquetes,Salas de reuniones,Fax/Fotocopiadora,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Balcón privado,Servicio a la habitación,Caja fuerte,Kitchenette,Microondas,Minibar,TV pantalla plana,Refrigerador,Habitaciones para no fumadores,Suites,Habitaciones para familias","1.316 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d518337-Reviews-Plaza_El_Bosque_San_Sebastian-Santiago_Santiago_Metropolitan_Region.html","N.º 39","$58.405","San Sebastián 2800 Las Condes, Santiago 7550091 Chile, Santiago","-33.415594124129306","-70.60144411120764","Chile","2020-01-12"
"488481","294305","4,0","168","Estacionamiento público pagado en el predio,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Desayuno gratis,Los niños se alojan gratis,Zona interior de juegos para niños,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Estacionamiento,Internet gratuito,Wifi,Wifi público,Wifi gratuito en el centro de negocios,Internet por cable gratuito en el centro de negocios,Internet,Desayuno disponible,Desayuno tipo bufé,Café instantáneo de cortesía,Servicio de taxi,Instalaciones para conferencias,Salas de reuniones,Fax/Fotocopiadora,Fotocopiadora/Fax en el centro de negocios,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Caja fuerte,TV pantalla plana,Habitaciones para no fumadores,Suites,Habitaciones para familias","1.377 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d488481-Reviews-Holiday_Inn_Express_Santiago_Las_Condes-Santiago_Santiago_Metropolitan_Region.html","N.º 35","$73.345","Avenida Vitacura 2929, Santiago 8320000 Chile, Santiago","-33.41167735359799","-70.6027814748688","Chile","2020-01-12"
"7071134","294305","4,5","8","Internet de alta velocidad gratuito (WiFi),Piscina,Bar/Salón,Alquiler de bicicletas,Servicio de traslado en autobús,Fax/Fotocopiadora,Masaje,Solo para adultos,Internet gratuito,Wifi,Wifi público,Internet,Toallas para la piscina/playa,Piscina al aire libre,Restaurante,Desayuno tipo bufé,Bar en la terraza,Alquiler de autos,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Caja fuerte,Teléfono,Minibar,TV pantalla plana,Bañera/Ducha,Productos de tocador de cortesía,Servicio de despertador/Reloj despertador,Secador de pelo,Habitaciones para no fumadores,Suites","307 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d7071134-Reviews-Tinto_Boutique_Hotel-Santiago_Santiago_Metropolitan_Region.html","N.º 32","N,A","Calle Antonia López de Bello 040 Providencia, Santiago 8320000 Chile, Santiago","-33.432062689422374","-70.63551165528881","Chile","2020-01-12"
"1746988","294305","4,0","14","Internet de alta velocidad gratuito (WiFi),Internet gratuito,Desayuno gratis,Desayuno en la habitación,Actividades infantiles (Ideal para niños / familias),Conserje,Hotel para no fumadores,Recepción disponible las 24 horas,Wifi,Internet,Aire acondicionado,Servicio a la habitación,Caja fuerte,Microondas,Refrigerador,TV pantalla plana,Habitaciones para no fumadores","285 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d1746988-Reviews-RQ_Bosque_Tobalaba-Santiago_Santiago_Metropolitan_Region.html","N.º 11","$43.344,$43.005,$42.502","Luis Thayer Ojeda 027, Santiago 8320000 Chile, Santiago","-33.418341","-70.60287149999999","Chile","2020-01-12"
"301847","294305","4,0","128","Internet de alta velocidad gratuito (WiFi),Piscina en la terraza,Gimnasio / Sala de entrenamiento,Bar/Salón,Guardería,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Internet gratuito,Wifi,Wifi público,Internet,Piscina al aire libre,Restaurante,Desayuno disponible,Desayuno tipo bufé,Alquiler de autos,Salas de reuniones,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Cambio de divisas,Hotel para no fumadores,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Aire acondicionado,Chimenea,Caja fuerte,Minibar,TV pantalla plana,Habitaciones para no fumadores,Habitaciones para familias","864 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d301847-Reviews-Four_Points_by_Sheraton_Santiago-Santiago_Santiago_Metropolitan_Region.html","N.º 54","N,A","Santa Magdalena 111, Santiago 99999 Chile, Santiago","-33.420191186508184","-70.60986293421436","Chile","2020-01-12"
"3570986","294305","5,0","8","Estacionamiento privado pagado en el predio,Internet de alta velocidad gratuito (WiFi),Internet gratuito,Wifi,Internet,Servicio de lavandería,Servicio de limpieza,Caja fuerte,Sala de estar,Teléfono,Máquina de café/té,Kitchenette,TV pantalla plana,Bañera/Ducha,Estante para la ropa,Plancha,Microondas,Refrigerador,Utensilios de cocina,Productos de tocador de cortesía,Secador de pelo,Habitaciones para no fumadores","385 opiniones","https://www.tripadvisor.cl/Hotel_Review-g294305-d3570986-Reviews-Trivento_Apparts_by_Park-Santiago_Santiago_Metropolitan_Region.html","N.º 2","N,A","Huerfanos 547 Entre Santa Lucía y Miraflores, Santiago 8320150 Chile, Santiago","-33.438993580068114","-70.64465053719198","Chile","2020-01-12"
